"V1","V2","V3","V4","V5","V6","V7","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V6_1","V6_2","V6_3","V6_4","filter_."
"Aruba                                               ","ABW","Muu alue/territorio",180,"Ei","Korkea",NA,105845,588.0277778,43.411,11.532,8.907,NA,45.67362612,2.18732,2.19987,2.19258000000001,NA,29007.693,NA,NA,NA,NA,78.372,73.488,76.01,NA,883.747,NA,0,0,0,1,"Not Selected"
"Afghanistan                                         ","AFG","Itsenäinen valtio",652860,"Kyllä","Matala","Kyllä",37172386,56.93776001,25.495,33.211,6.575,49.6,84.07765608,70.19479,44.52455,56.98028,11.05700016,556.3020024,4.058869839,0.9452268,11.77723598,59.12084823,65.656,62.701,64.13,0.1,8672.455,56.91080835,1,0,0,0,"Selected"
"Angola                                              ","AGO","Itsenäinen valtio",1246700,"Kyllä","Alempi keskitaso","Ei",30809762,24.71305206,65.514,41.281,8.432,53.5,96.17574044,NA,NA,NA,7.019000053,4095.812942,NA,2.421112813,2.79150295,43.13051888,63.252,57.677,60.379,1.9,34693.487,32.38850491,0,1,0,0,"Selected"
"Albania                                             ","ALB","Itsenäinen valtio",27400,"Ei","Ylempi keskitaso","Ei",2866376,104.6122628,60.319,11.934,7.714,8.4,45.81003739,2.23887999999999,1.48638,1.85885,12.34000015,4531.020806,3.611720085,1.108696386,5.01059723,94.17699827,80.148,76.601,78.333,0.1,4536.079,18.20060252,0,0,1,0,"Selected"
"Andorra                                             ","AND","Itsenäinen valtio",470,"Ei","Korkea","Kyllä",77006,163.8425532,88.062,NA,NA,3.1,NA,NA,NA,NA,NA,38962.88035,3.217089891,NA,6.54431868,107.2825494,NA,NA,NA,NA,469.376,10.30762139,0,0,0,1,"Selected"
"Arab World                                          ","ARB","Valtioiden muodostama alue",11232647.01,NA,NA,NA,419790591,37.37236563,58.92541889,25.64801495,5.413473179,27.09817908,61.16547352,32.77103,18.64526,25.4034,10.56334426,6102.211067,NA,6.467371777,5.561266144,99.50877289,73.49336627,69.9212501154086,71.62252635,0.119105465,1904104.418,58.68925861,NA,NA,NA,NA,"Not Selected"
"United Arab Emirates                                ","ARE","Itsenäinen valtio",71020,"Ei","Korkea","Ei",9630959,135.6091101,86.522,10.456,1.429,6.6,18.60779642,NA,NA,NA,2.229000092,40644.80404,NA,NA,4.14456415,208.5048332,79.008,76.966,77.647,NA,206323.755,40.91750982,0,0,0,1,"Selected"
"Argentina                                           ","ARG","Itsenäinen valtio",2736690,"Ei","Korkea","Ei",44494502,16.2585101,91.87,17.205,7.616,9.2,55.95447291,0.937960000000004,1.06225999999999,0.996129999999994,9.220000267,14591.86338,5.462230206,0.856137916,10.45704365,132.0931513,79.726,72.924,76.372,0.4,201347.636,13.31183395,0,0,0,1,"Selected"
"Armenia                                             ","ARM","Itsenäinen valtio",28470,"Ei","Ylempi keskitaso","Kyllä",2951776,103.6802248,63.149,14.298,9.862,11.6,46.81532686,NA,NA,NA,17.49600029,3914.501268,2.707590103,3.849730577,10.36270523,121.259018,78.165,71.115,74.797,0.2,5155.802,32.52811834,0,0,1,0,"Selected"
"American Samoa                                      ","ASM","Muu alue/territorio",200,NA,"Ylempi keskitaso",NA,55465,277.325,87.153,16.6,5.1,NA,NA,NA,NA,NA,NA,10823.4448,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.47382024,0,0,1,0,"Not Selected"
