"countries","gdp.per.capita","healthcare.expense","life.expectancy","infant.mortality","mortality"
"Afghanistan                                         ",556.3020024,11.77723598,64.13,49.6,6.575
"Angola                                              ",4095.812942,2.79150295,60.379,53.5,8.432
"Albania                                             ",4531.020806,5.01059723,78.333,8.4,7.714
"United Arab Emirates                                ",40644.80404,4.14456415,77.647,6.6,1.429
"Argentina                                           ",14591.86338,10.45704365,76.372,9.2,7.616
"Armenia                                             ",3914.501268,10.36270523,74.797,11.6,9.862
"Antigua and Barbuda                                 ",15383.41519,5.17094231,76.752,6.2,6.316
"Australia                                           ",54066.47127,9.20544815,82.5,3.1,6.5
"Austria                                             ",47549.07904,10.38262367,81.64390244,2.9,9.5
"Azerbaijan                                          ",4147.089716,3.73651457,72.693,20.5,5.8
"Burundi                                             ",292.9976307,7.51763725,60.898,42.6,8.106
"Belgium                                             ",44288.50804,10.40608311,81.49268293,2.9,9.6
"Benin                                               ",1136.592847,2.6444838,61.174,61.8,9.025
"Burkina Faso                                        ",738.2741589,6.91190195,60.768,56.7,8.341
"Bangladesh                                          ",1563.913857,2.27522182,72.052,28,5.533
"Bulgaria                                            ",8331.058025,7.45326805,74.81463415,6.2,15.5
"Bahrain                                             ",23709.43047,4.74813128,77.032,6.2,2.368
"Bahamas, The                                        ",31827.2427,6.83129883,73.554,11.4,6.72
"Bosnia and Herzegovina                              ",5394.59122,8.93159008,77.128,5.3,10.563
"Belarus                                             ",5761.74712,5.75974846,74.12926829,2.7,12.6
"Belize                                              ",4887.577208,5.70125389,74.365,11.8,4.681
"Bolivia                                             ",3351.12404,6.4901948,70.945,22.9,6.795
"Brazil                                              ",9925.386238,9.46933746,75.456,13.2,6.378
"Barbados                                            ",17391.42587,6.62216997,78.981,12.4,8.936
"Brunei Darussalam                                   ",28572.14678,2.27036428,75.585,9.2,4.345
"Bhutan                                              ",3286.574703,3.24491644,71.129,25.5,6.243
"Botswana                                            ",7893.210108,6.13456821,68.812,32.5,5.834
"Central African Republic                            ",450.900245,6.66541529,52.24,85.5,12.671
"Canada                                              ",45148.55271,10.78964806,81.94878049,4.4,7.5
"Switzerland                                         ",80449.99456,11.89515591,83.55121951,3.7,7.9
"Chile                                               ",14999.37009,9.06820488,79.909,6.4,6.076
"China                                               ",8879.438149,5.15119171,76.47,7.9,7.11
"Cote d'Ivoire                                       ",2111.027076,4.45303488,57.017,62.2,10.262
"Cameroon                                            ",1425.107818,3.4925251,58.511,53.4,9.501
"Congo, Dem. Rep.                                    ",467.0742375,4.15728664,60.026,69.8,9.691
"Congo, Rep.                                         ",1767.894521,2.93953753,63.954,36.6,6.828
"Colombia                                            ",6377.851363,7.67864275,76.925,12.6,5.503
"Comoros                                             ",1323.81159,4.64801407,63.912,51.2,7.298
"Cabo Verde                                          ",3292.645755,5.36013222,72.57,14.5,5.682
